51	6
71	20
91	27
111	18
131	62
150	55
170	71
191	98
211	49
230	104
251	99
271	97
291	117
311	131
331	115
351	143
370	166
391	150
411	171
431	170
451	183
471	178
491	200
510	216
531	217
550	211
570	237
591	260
610	267
630	281
651	275
671	271
691	288
710	288
731	314
751	311
771	324
791	319
811	339
831	342
851	332
871	352
890	361
910	381
931	397
950	404
971	398
991	391
1011	407
1031	424
1051	426
1071	422
1091	438
1111	449
1130	437
1151	460
1170	475
1190	491
1211	479
1231	485
1251	488
1270	491
1291	516
1310	518
1330	526
1351	523
1371	529
1390	530
1410	537
1431	537
1451	552
1470	551
1490	541
1510	545
1531	552
1551	554
1571	567
1590	535
1611	578
1631	588
1650	601
1671	601
1690	581
1710	581
1731	582
1750	630
1770	637
1790	623
1811	613
1831	628
1851	621
1871	676
1891	652
1911	654
1931	667
1950	664
1971	669
1991	687
2011	691
2030	679
2051	676
2071	676
2091	685
2111	692
2130	669
2151	690
2171	693
2191	708
2211	712
2231	700
2251	689
2271	701
2291	708
2311	700
2331	718
2351	698
2370	713
2391	704
2411	708
2431	696
2451	695
2470	731
2491	706
2511	706
2531	719
2551	709
2571	725
2591	720
2611	739
2631	711
2651	717
2671	713
2691	714
2710	711
2731	717
2751	712
2771	707
2791	703
2811	725
2831	703
2851	703
2871	693
2891	708
2911	696
2931	703
2951	690
2971	709
2991	704
3011	696
3031	703
3051	686
3070	684
3091	685
3111	697
3130	690
3151	669
3171	672
3191	679
3211	686
3231	665
3250	665
3271	650
3291	675
3311	648
3331	668
3351	636
3371	653
3391	636
3410	637
3431	623
3451	607
3471	620
3491	620
3511	595
3531	617
3551	613
3571	575
3591	590
3611	579
3631	582
3651	587
3671	580
3691	570
3711	558
3731	554
3751	556
3771	556
3791	532
3811	526
3831	536
3851	520
3871	504
3891	514
3911	503
3930	492
3951	484
3971	474
3991	470
4011	473
4031	463
4051	436
4071	458
4091	442
4111	433
4131	424
4151	414
4171	415
4191	411
4211	393
4231	387
4251	385
4271	383
4291	366
4311	364
4331	358
4351	355
4371	338
4391	328
4411	322
4431	321
4451	313
4471	314
4491	296
4511	294
4531	272
4551	281
4571	267
4591	263
4611	258
4631	230
4651	206
4671	227
4691	206
4711	222
4731	198
4751	191
4771	173
4791	171
4811	176
4831	138
4851	148
4871	145
4891	119
4911	101
4931	109
4951	76
4971	87
4991	71
5011	57
5031	37
5051	43
5071	25
5091	11
5111	11
5131	0
5151	-15
